cust_id,°¡°ø½ÄÇ°,°¡°ø½ÄÇ°2,³²¼ºÆÐ¼Ç,³²¼ºÆÐ¼Ç2,¸®ºù,¸®ºù2,¸®ºùÄÁÅÙÃ÷,¸®ºùÄÁÅÙÃ÷2,½ºÆ÷Ã÷ÆÀ,½ºÆ÷Ã÷ÆÀ2,½Å¼±½ÄÇ°,½Å¼±½ÄÇ°2,¾Æµ¿/Å×³ÍÆ®,¾Æµ¿/Å×³ÍÆ®2,¿©¼ºÆÐ¼Ç,¿©¼ºÆÐ¼Ç2,¿µÆÐ¼Ç,¿µÆÐ¼Ç2,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ2,ÇØ¿Ü¸íÇ°ÆÀ,ÇØ¿Ü¸íÇ°ÆÀ2,"ÇØ¿ÜºäÆ¼,ACCÆÀ","ÇØ¿ÜºäÆ¼,ACCÆÀ2",F&B,F&B2,¸ÅÃâÇÕ°è
729964741,9,191,10,"6,081",9,246,,,4,"1,922",7,127,2,640,,,6,"1,116",7,"36,753",17,"32,520",21,"1,693",32,682,"81,971"
729969693,11,552,12,"5,940",20,"59,238",,,3,"3,038",5,"2,186",,,,,2,116,3,"37,615",8,"12,770",10,"2,441",60,"1,155","125,051"
729977213,3,44,,,110,"106,446",,,4,483,,,6,126,,,,,2,"15,320",,,3,298,29,653,"123,370"
730108384,7,"1,067",1,1,,,1,166,101,"145,881",2,19,5,128,,,4,528,,,61,"197,033",8,"1,698",38,790,"347,311"
730146861,19,906,,,5,"8,145",1,409,2,200,10,675,8,"4,597",3,"3,831",,,,,34,"130,252",14,"5,072",44,"1,010","155,096"
730186861,45,"7,483",3,"1,292",21,"19,571",7,"3,852",13,"3,303",30,821,24,"4,754",6,"4,135",1,148,8,"45,559",18,"31,950",13,"1,525",242,"3,243","127,636"
730245952,9,361,14,"4,693",1,594,,,41,"26,648",12,"1,406",2,"3,139",7,"2,250",3,643,13,"58,637",21,"37,752",6,"2,446",53,"1,305","139,874"
730279801,93,"6,736",,,10,"3,900",,,8,"4,406",66,"6,059",4,147,2,573,,,4,"5,380",29,"197,415",3,"3,612",21,"1,311","229,539"
730364823,10,343,3,"1,199",4,107,1,100,7,"1,296",4,231,3,500,3,318,6,358,3,"12,490",27,"277,678",21,"13,984",15,494,"309,098"
730365919,103,"17,450",27,"3,284",37,"23,830",8,"1,097",4,"2,260",88,"7,950",,,9,"5,020",,,6,"60,271",,,18,"5,259",135,"3,792","130,211"
730405875,37,"2,221",6,"2,096",8,"1,848",,,86,"36,936",2,58,26,"1,179",24,"8,785",,,6,"24,990",117,"115,480",32,"9,110",49,"1,632","204,335"
730408762,,,,,9,"27,259",,,16,"11,420",1,69,3,173,6,"3,012",,,2,"107,250",,,,,2,152,"149,334"
730442503,1,"1,210",2,"1,293",,,,,1,502,,,,,,,,,5,"197,755",35,"297,280",3,"8,010",2,29,"506,079"
730513931,27,"1,272",4,"2,282",11,"8,439",,,8,"5,799",16,456,46,"7,172",22,"8,453",3,"2,531",1,"60,310",30,"69,845",2,755,48,"1,422","168,735"
730516988,7,494,,,8,"1,310",5,"9,243",1,161,4,46,,,,,3,694,,,27,"372,040",2,"3,872",32,727,"388,586"
730546551,117,"21,118",15,"14,831",30,"22,263",3,703,38,"25,163",103,"16,239",7,"1,367",15,"15,500",1,79,,,5,"13,945",54,"25,413",118,"3,003","159,625"
730603853,63,"3,169",,,5,777,,,1,174,64,"4,057",,,1,"3,158",,,,,41,"141,712",8,"1,577",253,"3,405","158,029"
730625894,35,"17,705",3,743,9,"6,549",,,73,"73,263",26,"1,557",,,,,1,35,,,2,382,51,"60,714",75,"1,309","162,256"
730685358,4,41,1,79,113,"137,833",,,,,,,7,339,,,4,544,2,75,1,"1,000",2,261,16,334,"140,506"
730706121,91,"7,849",28,"13,385",26,"3,861",,,15,"2,538",72,"5,392",6,235,68,"49,659",6,464,11,"7,431",23,"110,593",35,"9,399",128,"3,296","214,102"
730799934,,,1,"1,170",10,"4,848",,,4,"4,473",,,,,2,579,,,3,529,43,"198,344",29,"12,028",8,440,"222,411"
730816463,146,"3,628",3,"3,296",18,"4,160",,,9,319,52,945,7,770,15,"24,786",33,"14,432",3,108,52,"64,120",28,"3,643",376,"7,761","127,968"
730830138,,,2,0,10,"12,621",,,1,137,4,90,6,"1,956",2,"6,380",,,12,"275,851",18,"51,000",2,"1,671",10,510,"350,217"
730903696,55,"2,217",4,733,17,"1,832",1,11,8,"2,427",16,758,39,"6,054",4,"1,309",2,66,2,982,72,"190,917",12,"2,741",112,"2,292","212,338"
730910096,59,"4,203",18,"15,727",28,"6,964",18,"3,373",23,"6,103",19,"1,605",4,63,115,"149,806",8,542,1,"11,100",120,"156,455",32,"15,088",95,"2,202","373,230"
730986089,1,168,1,288,30,"137,608",,,,,1,5,4,617,,,,,,,,,4,448,8,588,"139,722"
